product_id,product_name,category,unit_price
1,Mouse Ultra,Electrónica,258.44
2,Silla Vintage,Hogar,391.02
3,Zapatillas Slim,Ropa,111.65
4,Monitor Moderno,Electrónica,608.72
5,Organizador Vintage,Hogar,451.04
6,Rompecabezas Slim,Juguetes,67.62
7,Sábana Pro,Hogar,191.57
8,Zapatillas Moderno,Ropa,570.42
9,Balón Básico,Deportes,399.91
10,Pelota Básico,Juguetes,375.34
11,Juego de Mesa Slim,Juguetes,706.21
12,Pelota Ultra,Juguetes,178.9
13,Zapatillas Ultra,Ropa,453.26
14,Smartphone Slim,Electrónica,666.9
15,Auriculares Pro,Electrónica,427.21
16,Lámpara Pro,Hogar,562.21
17,Chaqueta Pro,Ropa,19.46
18,Pesas Premium,Deportes,385.79
19,Teclado Moderno,Electrónica,403.54
20,Cuadro Vintage,Hogar,503.16
21,Lámpara Slim,Hogar,680.13
22,Lámpara Max,Hogar,233.47
23,Bufanda Moderno,Ropa,301.74
24,Toalla Slim,Hogar,487.22
25,Zapatillas Pro,Ropa,331.75
26,Gorra Vintage,Ropa,63.17
27,Pantalón Moderno,Ropa,742.78
28,Sábana Pro 1,Hogar,771.53
29,Smartphone Slim 1,Electrónica,768.88
30,Organizador Ultra,Hogar,505.52
31,Sábana Slim,Hogar,267.96
32,Tablet Básico,Electrónica,735.1
33,Camiseta Slim,Ropa,151.62
34,Zapatillas Ultra 1,Ropa,240.24
35,Balón Premium,Deportes,225.4
36,Pesas Moderno,Deportes,756.19
37,Tablet Moderno,Electrónica,566.08
38,Robot Vintage,Juguetes,55.62
39,Teclado Max,Electrónica,707.79
40,Juego de Mesa Premium,Juguetes,575.56
41,Zapatillas Básico,Ropa,129.52
42,Gorra Max,Ropa,119.71
43,Muñeca Moderno,Juguetes,729.24
44,Teclado Slim,Electrónica,561.53
45,Auriculares Pro 1,Electrónica,257.39
46,Gorra Pro,Ropa,78.71
47,Juego de Mesa Moderno,Juguetes,574.96
48,Colchoneta Pro,Deportes,72.9
49,Auriculares Moderno,Electrónica,544.73
50,Lámpara Ultra,Hogar,463.62
51,Rompecabezas Básico,Juguetes,654.43
52,Robot Vintage 1,Juguetes,769.64
53,Bicicleta Vintage,Deportes,198.2
54,Toalla Ultra,Hogar,491.52
55,Mouse Vintage,Electrónica,489.44
56,Mesa Moderno,Hogar,482.57
57,Bicicleta Max,Deportes,353.61
58,Auto Pro,Juguetes,714.71
59,Bicicleta Ultra,Deportes,137.31
60,Teclado Moderno 1,Electrónica,352.89
61,Gorra Slim,Ropa,692.5
62,Robot Slim,Juguetes,262.93
63,Balón Vintage,Deportes,626.07
64,Cuadro Slim,Hogar,708.83
65,Rompecabezas Básico 1,Juguetes,207.58
66,Auto Moderno,Juguetes,362.78
67,Rompecabezas Max,Juguetes,16.17
68,Camiseta Premium,Ropa,304.49
69,Camiseta Vintage,Ropa,794.96
70,Rompecabezas Vintage,Juguetes,60.71
71,Pantalón Max,Ropa,587.74
72,Auto Moderno 1,Juguetes,676.49
73,Bicicleta Pro,Deportes,478.93
74,Organizador Premium,Hogar,361.78
75,Bicicleta Slim,Deportes,471.69
76,Bicicleta Pro 1,Deportes,562.25
77,Muñeca Vintage,Juguetes,424.74
78,Juego de Mesa Moderno 1,Juguetes,496.53
79,Laptop Básico,Electrónica,561.86
80,Mouse Slim,Electrónica,726.73
81,Organizador Vintage 1,Hogar,400.68
82,Pelota Premium,Juguetes,152.96
83,Camiseta Ultra,Ropa,433.04
84,Chaqueta Slim,Ropa,570.23
85,Toalla Slim 1,Hogar,158.34
86,Camiseta Moderno,Ropa,562.39
87,Pelota Premium 1,Juguetes,505.54
88,Pelota Slim,Juguetes,388.0
89,Camiseta Ultra 1,Ropa,672.56
90,Laptop Vintage,Electrónica,201.48
91,Chaqueta Pro 1,Ropa,183.89
92,Teclado Moderno 2,Electrónica,404.48
93,Zapatillas Básico 1,Ropa,106.98
94,Bicicleta Slim 1,Deportes,487.77
95,Chaqueta Max,Ropa,146.95
96,Mouse Slim 1,Electrónica,365.09
97,Balón Slim,Deportes,29.93
98,Colchoneta Premium,Deportes,728.87
99,Botella Slim,Deportes,426.97
100,Raqueta Max,Deportes,36.8
101,Camiseta Max,Ropa,709.6
102,Teclado Ultra,Electrónica,407.85
103,Zapatillas Premium,Ropa,684.56
104,Rompecabezas Vintage 1,Juguetes,324.57
105,Raqueta Moderno,Deportes,436.85
106,Lámpara Básico,Hogar,226.68
107,Pesas Max,Deportes,58.55
108,Gorra Pro 1,Ropa,466.35
109,Laptop Premium,Electrónica,116.99
110,Zapatillas Pro 1,Ropa,450.38
111,Muñeca Pro,Juguetes,511.32
112,Gorra Moderno,Ropa,84.53
113,Auto Pro 1,Juguetes,197.77
114,Lámpara Vintage,Hogar,482.38
115,Smartphone Max,Electrónica,638.83
116,Auto Max,Juguetes,518.32
117,Sábana Vintage,Hogar,644.79
118,Sábana Ultra,Hogar,184.31
119,Lámpara Slim 1,Hogar,146.9
120,Pesas Básico,Deportes,159.24
121,Tablet Slim,Electrónica,441.08
122,Chaqueta Pro 2,Ropa,192.57
123,Bufanda Moderno 1,Ropa,148.92
124,Pesas Vintage,Deportes,276.31
125,Rompecabezas Moderno,Juguetes,501.48
126,Auto Max 1,Juguetes,710.42
127,Pelota Max,Juguetes,624.09
128,Silla Slim,Hogar,315.63
129,Robot Ultra,Juguetes,327.26
130,Chaqueta Slim 1,Ropa,54.82
131,Mesa Pro,Hogar,647.69
132,Tablet Max,Electrónica,343.97
133,Bufanda Básico,Ropa,191.84
134,Bicicleta Moderno,Deportes,72.38
135,Pantalón Vintage,Ropa,52.77
136,Sábana Slim 1,Hogar,436.13
137,Pantalón Pro,Ropa,387.06
138,Organizador Premium 1,Hogar,394.17
139,Pelota Slim 1,Juguetes,484.0
140,Rompecabezas Ultra,Juguetes,566.67
141,Balón Pro,Deportes,759.9
142,Pesas Básico 1,Deportes,143.05
143,Mouse Moderno,Electrónica,177.72
144,Toalla Moderno,Hogar,416.8
145,Tablet Premium,Electrónica,683.14
146,Tablet Max 1,Electrónica,456.73
147,Bicicleta Pro 2,Deportes,267.23
148,Pantalón Básico,Ropa,563.27
149,Camiseta Slim 1,Ropa,636.77
150,Bufanda Ultra,Ropa,775.56
