sale_id,employee_id,customer_id,product_id,sales_channel,quantity,discount_percentage,payment_method,subtotal,discount_amount,total,year,month,day,hour
1,92,103,5,Distribuidor,4,21.94,Tarjeta,1804.16,395.83,1408.33,2024,5,10,5
2,45,436,157,Distribuidor,9,3.81,Transferencia,5003.73,190.64,4813.09,2023,4,1,5
3,65,349,47,Tienda física,3,15.51,Transferencia,1724.88,267.53,1457.35,2025,5,29,14
4,99,271,68,Distribuidor,3,14.64,Tarjeta,913.47,133.73,779.74,2025,8,12,23
5,38,107,76,Distribuidor,12,4.67,Tarjeta,6747.0,315.08,6431.92,2024,11,2,23
6,100,72,173,Tienda física,17,13.37,Paypal,10985.91,1468.82,9517.09,2025,11,7,9
7,21,189,130,Online,11,12.04,Transferencia,603.02,72.6,530.42,2025,11,5,4
8,65,21,155,Online,16,10.53,Tarjeta,12463.2,1312.37,11150.83,2023,4,27,14
9,45,103,95,Distribuidor,14,0.33,Efectivo,2057.3,6.79,2050.51,2024,11,30,4
10,13,122,115,Distribuidor,19,21.69,Efectivo,12137.77,2632.68,9505.09,2023,10,13,13
11,44,467,164,Online,15,18.74,Tarjeta,6228.15,1167.16,5060.99,2024,10,25,11
12,1,215,36,Tienda física,2,9.5,Transferencia,1512.38,143.68,1368.7,2025,7,12,12
13,1,331,26,Tienda física,16,16.43,Tarjeta,1010.72,166.06,844.66,2024,8,27,21
14,87,459,43,Tienda física,3,0.72,Tarjeta,2187.72,15.75,2171.97,2024,11,17,20
15,62,88,27,Tienda física,10,8.17,Efectivo,7427.8,606.85,6820.95,2023,9,15,22
16,94,373,69,Distribuidor,13,6.95,Transferencia,10334.48,718.25,9616.23,2025,2,21,15
17,54,100,148,Tienda física,16,1.43,Tarjeta,9012.32,128.88,8883.44,2023,11,4,12
18,4,360,11,Online,15,16.58,Transferencia,10593.15,1756.34,8836.81,2024,4,12,23
19,27,152,74,Tienda física,8,16.01,Tarjeta,2894.24,463.37,2430.87,2023,1,12,11
